"C1018","Abilene, TX MSA"
"C1038","Aguadilla-Isabela-San Sebastiﬂn, PR MSA"
"C1042","Akron, OH MSA"
"C1050","Albany, GA MSA"
"C1058","Albany-Schenectady-Troy, NY MSA"
"C1074","Albuquerque, NM MSA"
"C1078","Alexandria, LA MSA"
"C1090","Allentown-Bethlehem-Easton, PA-NJ MSA"
"C1102","Altoona, PA MSA"
"C1110","Amarillo, TX MSA"
"C1118","Ames, IA MSA"
"C1126","Anchorage, AK MSA"
"C1130","Anderson, IN MSA"
"C1134","Anderson, SC MSA"
"C1146","Ann Arbor, MI MSA"
"C1150","Anniston-Oxford, AL MSA"
"C1154","Appleton, WI MSA"
"C1170","Asheville, NC MSA"
"C1202","Athens-Clarke County, GA MSA"
"C1206","Atlanta-Sandy Springs-Marietta, GA MSA"
"C1210","Atlantic City, NJ MSA"
"C1222","Auburn-Opelika, AL MSA"
"C1226","Augusta-Richmond County, GA-SC MSA"
"C1242","Austin-Round Rock, TX MSA"
"C1254","Bakersfield, CA MSA"
"C1258","Baltimore-Towson, MD MSA"
"C1262","Bangor, ME MSA"
"C1270","Barnstable Town, MA MSA"
"C1294","Baton Rouge, LA MSA"
"C1298","Battle Creek, MI MSA"
"C1302","Bay City, MI MSA"
"C1314","Beaumont-Port Arthur, TX MSA"
"C1338","Bellingham, WA MSA"
"C1346","Bend, OR MSA"
"C1374","Billings, MT MSA"
"C1378","Binghamton, NY MSA"
"C1382","Birmingham-Hoover, AL MSA"
"C1390","Bismarck, ND MSA"
"C1398","Blacksburg-Christiansburg-Radford, VA MSA"
"C1402","Bloomington, IN MSA"
"C1406","Bloomington-Normal, IL MSA"
"C1426","Boise City-Nampa, ID MSA"
"C1446","Boston-Cambridge-Quincy, MA-NH MSA"
"C1450","Boulder, CO MSA"
"C1454","Bowling Green, KY MSA"
"C1474","Bremerton-Silverdale, WA MSA"
"C1486","Bridgeport-Stamford-Norwalk, CT MSA"
"C1498","Bristol, VA MSA"
"C1518","Brownsville-Harlingen, TX MSA"
"C1526","Brunswick, GA MSA"
"C1538","Buffalo-Niagara Falls, NY MSA"
"C1550","Burlington, NC MSA"
"C1554","Burlington-South Burlington, VT MSA"
"C1594","Canton-Massillon, OH MSA"
"C1598","Cape Coral-Fort Myers, FL MSA"
"C1618","Carson City, NV MSA"
"C1622","Casper, WY MSA"
"C1630","Cedar Rapids, IA MSA"
"C1658","Champaign-Urbana, IL MSA"
"C1662","Charleston, WV MSA"
"C1670","Charleston-North Charleston, SC MSA"
"C1674","Charlotte-Gastonia-Concord, NC-SC MSA"
"C1682","Charlottesville, VA MSA"
"C1686","Chattanooga, TN-GA MSA"
"C1694","Cheyenne, WY MSA"
"C1698","Chicago-Naperville-Joliet, IL-IN-WI MSA"
"C1702","Chico, CA MSA"
"C1714","Cincinnati-Middletown, OH-KY-IN MSA"
"C1730","Clarksville, TN-KY MSA"
"C1742","Cleveland, TN MSA"
"C1746","Cleveland-Elyria-Mentor, OH MSA"
"C1766","Coeur d'Alene, ID MSA"
"C1778","College Station-Bryan, TX MSA"
"C1782","Colorado Springs, CO MSA"
"C1786","Columbia, MO MSA"
"C1790","Columbia, SC MSA"
"C1798","Columbus, GA-AL MSA"
"C1802","Columbus, IN MSA"
"C1814","Columbus, OH MSA"
"C1858","Corpus Christi, TX MSA"
"C1870","Corvallis, OR MSA"
"C1906","Cumberland, MD-WV MSA"
"C1910","Dallas-Fort Worth-Arlington, TX MSA"
"C1914","Dalton, GA MSA"
"C1918","Danville, IL MSA"
"C1926","Danville, VA MSA"
"C1934","Davenport-Moline-Rock Island, IA-IL MSA"
"C1938","Dayton, OH MSA"
"C1946","Decatur, AL MSA"
"C1950","Decatur, IL MSA"
"C1966","Deltona-Daytona Beach-Ormond Beach, FL MSA"
"C1974","Denver-Aurora, CO MSA"
"C1978","Des Moines, IA MSA"
"C1982","Detroit-Warren-Livonia, MI MSA"
"C2002","Dothan, AL MSA"
"C2010","Dover, DE MSA"
"C2022","Dubuque, IA MSA"
"C2026","Duluth, MN-WI MSA"
"C2050","Durham, NC MSA"
"C2074","Eau Claire, WI MSA"
"C2094","El Centro, CA MSA"
"C2106","Elizabethtown, KY MSA"
"C2114","Elkhart-Goshen, IN MSA"
"C2130","Elmira, NY MSA"
"C2134","El Paso, TX MSA"
"C2150","Erie, PA MSA"
"C2166","Eugene-Springfield, OR MSA"
"C2178","Evansville, IN-KY MSA"
"C2182","Fairbanks, AK MSA"
"C2194","Fajardo, PR MSA"
"C2202","Fargo, ND-MN MSA"
"C2214","Farmington, NM MSA"
"C2218","Fayetteville, NC MSA"
"C2222","Fayetteville-Springdale-Rogers, AR-MO MSA"
"C2238","Flagstaff, AZ MSA"
"C2242","Flint, MI MSA"
"C2246","Florence, AL MSA"
"C2250","Florence, SC MSA"
"C2252","Florence-Muscle Shoals, AL MSA"
"C2254","Fond du Lac, WI MSA"
"C2266","Fort Collins-Loveland, CO MSA"
"C2290","Fort Smith, AR-OK MSA"
"C2302","Fort Walton Beach-Crestview-Destin, FL MSA"
"C2306","Fort Wayne, IN MSA"
"C2342","Fresno, CA MSA"
"C2346","Gadsden, AL MSA"
"C2354","Gainesville, FL MSA"
"C2358","Gainesville, GA MSA"
"C2402","Glens Falls, NY MSA"
"C2414","Goldsboro, NC MSA"
"C2422","Grand Forks, ND-MN MSA"
"C2430","Grand Junction, CO MSA"
"C2434","Grand Rapids-Wyoming, MI MSA"
"C2450","Great Falls, MT MSA"
"C2454","Greeley, CO MSA"
"C2458","Green Bay, WI MSA"
"C2466","Greensboro-High Point, NC MSA"
"C2478","Greenville, NC MSA"
"C2486","Greenville, SC MSA"
"C2502","Guayama, PR MSA"
"C2506","Gulfport-Biloxi, MS MSA"
"C2518","Hagerstown-Martinsburg, MD-WV MSA"
"C2526","Hanford-Corcoran, CA MSA"
"C2542","Harrisburg-Carlisle, PA MSA"
"C2550","Harrisonburg, VA MSA"
"C2554","Hartford-West Hartford-East Hartford, CT MSA"
"C2562","Hattiesburg, MS MSA"
"C2586","Hickory-Lenoir-Morganton, NC MSA"
"C2598","Hinesville-Fort Stewart, GA MSA"
"C2610","Holland-Grand Haven, MI MSA"
"C2618","Honolulu, HI MSA"
"C2630","Hot Springs, AR MSA"
"C2638","Houma-Bayou Cane-Thibodaux, LA MSA"
"C2642","Houston-Baytown-Sugar Land, TX MSA"
"C2658","Huntington-Ashland, WV-KY-OH MSA"
"C2662","Huntsville, AL MSA"
"C2682","Idaho Falls, ID MSA"
"C2690","Indianapolis, IN MSA"
"C2698","Iowa City, IA MSA"
"C2706","Ithaca, NY MSA"
"C2710","Jackson, MI MSA"
"C2714","Jackson, MS MSA"
"C2718","Jackson, TN MSA"
"C2726","Jacksonville, FL MSA"
"C2734","Jacksonville, NC MSA"
"C2750","Janesville, WI MSA"
"C2762","Jefferson City, MO MSA"
"C2774","Johnson City, TN MSA"
"C2778","Johnstown, PA MSA"
"C2786","Jonesboro, AR MSA"
"C2790","Joplin, MO MSA"
"C2802","Kalamazoo-Portage, MI MSA"
"C2810","Kankakee-Bradley, IL MSA"
"C2814","Kansas City, MO-KS MSA"
"C2842","Kennewick-Richland-Pasco, WA MSA"
"C2866","Killeen-Temple-Fort Hood, TX MSA"
"C2870","Kingsport-Bristol-Bristol, TN-VA MSA"
"C2874","Kingston, NY MSA"
"C2894","Knoxville, TN MSA"
"C2902","Kokomo, IN MSA"
"C2910","La Crosse, WI-MN MSA"
"C2914","Lafayette, IN MSA"
"C2918","Lafayette, LA MSA"
"C2934","Lake Charles, LA MSA"
"C2946","Lakeland, FL MSA"
"C2954","Lancaster, PA MSA"
"C2962","Lansing-East Lansing, MI MSA"
"C2970","Laredo, TX MSA"
"C2974","Las Cruces, NM MSA"
"C2982","Las Vegas-Paradise, NV MSA"
"C2994","Lawrence, KS MSA"
"C3002","Lawton, OK MSA"
"C3014","Lebanon, PA MSA"
"C3030","Lewiston, ID-WA MSA"
"C3034","Lewiston-Auburn, ME MSA"
"C3046","Lexington-Fayette, KY MSA"
"C3062","Lima, OH MSA"
"C3070","Lincoln, NE MSA"
"C3078","Little Rock-North Little Rock, AR MSA"
"C3086","Logan, UT-ID MSA"
"C3098","Longview, TX MSA"
"C3102","Longview, WA MSA"
"C3110","Los Angeles-Long Beach-Santa Ana, CA MSA"
"C3114","Louisville, KY-IN MSA"
"C3118","Lubbock, TX MSA"
"C3134","Lynchburg, VA MSA"
"C3142","Macon, GA MSA"
"C3146","Madera, CA MSA"
"C3154","Madison, WI MSA"
"C3170","Manchester-Nashua, NH MSA"
"C3190","Mansfield, OH MSA"
"C3242","Mayagnez, PR MSA"
"C3258","McAllen-Edinburg-Pharr, TX MSA"
"C3278","Medford, OR MSA"
"C3282","Memphis, TN-MS-AR MSA"
"C3290","Merced, CA MSA"
"C3310","Miami-Fort Lauderdale-Miami Beach, FL MSA"
"C3314","Michigan City-La Porte, IN MSA"
"C3326","Midland, TX MSA"
"C3334","Milwaukee-Waukesha-West Allis, WI MSA"
"C3346","Minneapolis-St. Paul-Bloomington, MN-WI MSA"
"C3354","Missoula, MT MSA"
"C3366","Mobile, AL MSA"
"C3370","Modesto, CA MSA"
"C3374","Monroe, LA MSA"
"C3378","Monroe, MI MSA"
"C3386","Montgomery, AL MSA"
"C3406","Morgantown, WV MSA"
"C3410","Morristown, TN MSA"
"C3458","Mount Vernon-Anacortes, WA MSA"
"C3462","Muncie, IN MSA"
"C3474","Muskegon-Norton Shores, MI MSA"
"C3482","Myrtle Beach-Conway-North Myrtle Beach, SC MSA"
"C3490","Napa, CA MSA"
"C3494","Naples-Marco Island, FL MSA"
"C3498","Nashville-Davidson--Murfreesboro, TN MSA"
"C3530","New Haven-Milford, CT MSA"
"C3538","New Orleans-Metairie-Kenner, LA MSA"
"C3562","New York-Northern New Jersey-Long Island,NY-NJ-PA MSA"
"C3566","Niles-Benton Harbor, MI MSA"
"C3598","Norwich-New London, CT MSA"
"C3610","Ocala, FL MSA"
"C3614","Ocean City, NJ MSA"
"C3622","Odessa, TX MSA"
"C3626","Ogden-Clearfield, UT MSA"
"C3642","Oklahoma City, OK MSA"
"C3650","Olympia, WA MSA"
"C3654","Omaha-Council Bluffs, NE-IA MSA"
"C3674","Orlando, FL MSA"
"C3678","Oshkosh-Neenah, WI MSA"
"C3698","Owensboro, KY MSA"
"C3710","Oxnard-Thousand Oaks-Ventura, CA MSA"
"C3734","Palm Bay-Melbourne-Titusville, FL MSA"
"C3746","Panama City-Lynn Haven, FL MSA"
"C3762","Parkersburg-Marietta, WV-OH MSA"
"C3770","Pascagoula, MS MSA"
"C3786","Pensacola-Ferry Pass-Brent, FL MSA"
"C3790","Peoria, IL MSA"
"C3798","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA"
"C3806","Phoenix-Mesa-Scottsdale, AZ MSA"
"C3822","Pine Bluff, AR MSA"
"C3830","Pittsburgh, PA MSA"
"C3834","Pittsfield, MA MSA"
"C3854","Pocatello, ID MSA"
"C3866","Ponce, PR MSA"
"C3886","Portland-South Portland-Biddeford, ME MSA"
"C3890","Portland-Vancouver-Beaverton, OR-WA MSA"
"C3894","Port St. Lucie-Fort Pierce, FL MSA"
"C3910","Poughkeepsie-Newburgh-Middletown, NY MSA"
"C3914","Prescott, AZ MSA"
"C3930","Providence-New Bedford-Fall River, RI-MA MSA"
"C3934","Provo-Orem, UT MSA"
"C3938","Pueblo, CO MSA"
"C3946","Punta Gorda, FL MSA"
"C3954","Racine, WI MSA"
"C3958","Raleigh-Cary, NC MSA"
"C3966","Rapid City, SD MSA"
"C3974","Reading, PA MSA"
"C3982","Redding, CA MSA"
"C3990","Reno-Sparks, NV MSA"
"C4006","Richmond, VA MSA"
"C4014","Riverside-San Bernardino-Ontario, CA MSA"
"C4022","Roanoke, VA MSA"
"C4034","Rochester, MN MSA"
"C4038","Rochester, NY MSA"
"C4042","Rockford, IL MSA"
"C4058","Rocky Mount, NC MSA"
"C4066","Rome, GA MSA"
"C4090","Sacramento--Arden-Arcade--Roseville, CA MSA"
"C4098","Saginaw-Saginaw Township North, MI MSA"
"C4106","St. Cloud, MN MSA"
"C4110","St. George, UT MSA"
"C4114","St. Joseph, MO-KS MSA"
"C4118","St. Louis, MO-IL MSA"
"C4142","Salem, OR MSA"
"C4150","Salinas, CA MSA"
"C4154","Salisbury, MD MSA"
"C4162","Salt Lake City, UT MSA"
"C4166","San Angelo, TX MSA"
"C4170","San Antonio, TX MSA"
"C4174","San Diego-Carlsbad-San Marcos, CA MSA"
"C4178","Sandusky, OH MSA"
"C4186","San Francisco-Oakland-Fremont, CA MSA"
"C4190","San Germﬂn-Cabo Rojo, PR MSA"
"C4194","San Jose-Sunnyvale-Santa Clara, CA MSA"
"C4198","San Juan-Caguas-Guaynabo, PR MSA"
"C4202","San Luis Obispo-Paso Robles, CA MSA"
"C4206","Santa Barbara-Santa Maria-Goleta, CA MSA"
"C4210","Santa Cruz-Watsonville, CA MSA"
"C4214","Santa Fe, NM MSA"
"C4222","Santa Rosa-Petaluma, CA MSA"
"C4226","Sarasota-Bradenton-Venice, FL MSA"
"C4234","Savannah, GA MSA"
"C4254","Scranton--Wilkes-Barre, PA MSA"
"C4266","Seattle-Tacoma-Bellevue, WA MSA"
"C4310","Sheboygan, WI MSA"
"C4330","Sherman-Denison, TX MSA"
"C4334","Shreveport-Bossier City, LA MSA"
"C4358","Sioux City, IA-NE-SD MSA"
"C4362","Sioux Falls, SD MSA"
"C4378","South Bend-Mishawaka, IN-MI MSA"
"C4390","Spartanburg, SC MSA"
"C4406","Spokane, WA MSA"
"C4410","Springfield, IL MSA"
"C4414","Springfield, MA MSA"
"C4418","Springfield, MO MSA"
"C4422","Springfield, OH MSA"
"C4430","State College, PA MSA"
"C4470","Stockton, CA MSA"
"C4494","Sumter, SC MSA"
"C4506","Syracuse, NY MSA"
"C4522","Tallahassee, FL MSA"
"C4530","Tampa-St. Petersburg-Clearwater, FL MSA"
"C4546","Terre Haute, IN MSA"
"C4550","Texarkana, TX-Texarkana, AR MSA"
"C4578","Toledo, OH MSA"
"C4582","Topeka, KS MSA"
"C4594","Trenton-Ewing, NJ MSA"
"C4606","Tucson, AZ MSA"
"C4614","Tulsa, OK MSA"
"C4622","Tuscaloosa, AL MSA"
"C4634","Tyler, TX MSA"
"C4654","Utica-Rome, NY MSA"
"C4666","Valdosta, GA MSA"
"C4670","Vallejo-Fairfield, CA MSA"
"C4694","Vero Beach, FL MSA"
"C4702","Victoria, TX MSA"
"C4722","Vineland-Millville-Bridgeton, NJ MSA"
"C4726","Virginia Beach-Norfolk-Newport News, VA-NC MSA"
"C4730","Visalia-Porterville, CA MSA"
"C4738","Waco, TX MSA"
"C4758","Warner Robins, GA MSA"
"C4790","Washington-Arlington-Alexandria, DC-VA-MD-WV MSA"
"C4794","Waterloo-Cedar Falls, IA MSA"
"C4814","Wausau, WI MSA"
"C4826","Weirton-Steubenville, WV-OH MSA"
"C4830","Wenatchee, WA MSA"
"C4854","Wheeling, WV-OH MSA"
"C4862","Wichita, KS MSA"
"C4866","Wichita Falls, TX MSA"
"C4870","Williamsport, PA MSA"
"C4890","Wilmington, NC MSA"
"C4902","Winchester, VA-WV MSA"
"C4918","Winston-Salem, NC MSA"
"C4934","Worcester, MA MSA"
"C4942","Yakima, WA MSA"
"C4950","Yauco, PR MSA"
"C4962","York-Hanover, PA MSA"
"C4966","Youngstown-Warren-Boardman, OH-PA MSA"
"C4970","Yuba City, CA MSA"
"C4974","Yuma, AZ MSA"
